29.8,0,2.6,0.7,23.7,-6.3,20
29.4,0,2.5,0.7,23.3,-6.7,20
26.2,0.7,2.4,0.88,24,-5.9,5.23
25.7,0.1,1.2,0.9,23.9,-5.7,20
25.5,0,0.7,0.94,24.4,-4.8,19.51
25.2,0,1,0.93,23.9,-4,19.75
24.4,3.3,0.5,0.96,23.7,-2.9,3.28
23.8,10.6,0.9,0.97,23.2,-2.3,2.67
23.6,4.1,1.6,0.97,23,-2.3,7.38
23.3,0.5,0.9,0.97,22.7,-2,19.76
22.9,0,2.4,0.97,22.3,-1.9,17.96
22.8,0,0.4,0.96,22.1,-2,17.83
22.7,0,0.4,0.94,21.6,-2,20
22.4,0,0.8,0.95,21.5,-1.8,20
22,0,2.5,0.91,20.4,-1.6,20
22.2,0,1.7,0.89,20.2,-1.4,20
21.7,1.4,1.1,0.96,21,-0.8,13.33
21.7,0.9,2.9,0.95,20.8,-0.4,16.47
21.6,1.5,2,0.95,20.7,0,15.45
21.9,0.1,3.5,0.93,20.7,-0.1,18.31
22.1,0,3.3,0.89,20.1,0.3,20
21.6,0.3,0.9,0.94,20.5,0.3,10.39
22.1,2.6,1.3,0.94,21,-0.2,16.71
22.4,0,1.7,0.92,21,-0.5,11.23
23.4,0,3.3,0.86,20.9,-0.9,20
24.2,0,2.2,0.8,20.5,-0.9,20
24.1,0,2.4,0.83,21,-0.8,20
23.9,0,3,0.78,19.8,-0.8,20
23.4,0,3,0.78,19.3,-0.1,20
22.8,0,5,0.8,19.1,0.4,20
21.9,0,2.6,0.82,18.6,0.8,18.53
21.3,0,3.7,0.8,17.7,1.5,20
20.9,0,3.8,0.81,17.5,1.6,20
20.6,0,3.6,0.79,16.8,1.8,20
20.4,0,2.6,0.76,16,1.6,20
19.7,0,2,0.78,15.7,1.8,20
19.5,0,2.8,0.77,15.3,1.9,20
18.9,0,2.7,0.81,15.5,2.2,20
19.1,0,2.7,0.79,15.3,2.3,20
19.2,0,2.7,0.8,15.6,2.5,20
20.1,0,1.6,0.77,15.9,2.8,20
21.5,0,3.3,0.72,16.2,3,20
23,0,3.4,0.71,17.4,2.8,20
24.3,0,3.3,0.67,17.7,2.5,20
25.2,0,3.3,0.64,17.8,2.5,20
25.3,0,3,0.62,17.4,2.5,20
26.7,0,3.3,0.64,19.3,2.2,20
27,0,2.7,0.59,18.2,1.7,20
27.3,0,3.3,0.62,19.3,1.2,20
27.3,0,3.6,0.59,18.5,1,20
26.7,0,3.1,0.63,19,1.2,20
25.8,0,3.8,0.65,18.7,1.2,20
24.8,0,3.2,0.67,18.2,1.7,20
23.8,0,2.7,0.68,17.5,2,20
23.2,0,4,0.7,17.4,2.4,16.65
22.6,0,4,0.72,17.2,3.3,20
21.3,0,3.9,0.67,14.9,4.2,20
20.3,0,2.3,0.72,15,4.1,20
19.5,0,2.7,0.72,14.3,4.1,20
18.9,0,3.5,0.75,14.3,3.9,20
18.4,0,4.3,0.76,14,4,20
18,0,4,0.78,14,4.3,20
17.7,0,3.7,0.8,14.1,4.4,20
17.7,0,0.7,0.81,14.3,4.5,20
19,0,3.5,0.78,15,4.6,20
20,0,3.1,0.76,15.6,4.9,20
22.4,0,3,0.71,16.8,4.7,20
22.5,0,3.9,0.71,16.9,4.9,20
23,0,3.9,0.67,16.5,5.2,20
24.2,0,2.2,0.67,17.6,5.1,20
25.4,0,3.4,0.63,17.8,4.6,20
25.5,0,3.5,0.65,18.4,4.2,20
25.7,0,2.6,0.66,18.8,4.1,20
25.7,0,3.2,0.66,18.8,3.9,20
25.3,0,2.9,0.67,18.7,3.9,20
25,0,2.3,0.69,18.9,4.3,20
23.7,0,3.9,0.73,18.5,4.7,20
23,0,4,0.75,18.3,5.3,20
22.8,0,3.4,0.76,18.3,5.9,20
22.4,0,3.4,0.77,18.1,6.2,20
22.1,0,3.9,0.79,18.2,6,20
21.8,0,3.7,0.8,18.1,5.9,20
21.3,0,4,0.83,18.2,5.9,20
21.2,0,3.4,0.83,18.1,6.3,17.31
20.9,0,3.4,0.84,18,6.3,20
20.7,0,3.8,0.84,17.8,6.5,20
20.6,0,3.2,0.84,17.7,6.5,20
20.5,0,3.3,0.85,17.8,6.8,20
20.6,0,0.9,0.85,17.9,7.4,20
20.2,0.1,3.6,0.88,18.1,7.5,17.73
20,0.2,3.1,0.91,18.4,7.6,14.67
19.3,7.1,2.3,0.97,18.8,8,1.78
19.7,14,1.3,0.97,19.2,8,9.34
19.6,4.6,2.3,0.97,19.1,8.1,3.97
19.9,5.4,0.8,0.97,19.4,7.9,3.96
20.1,4.1,1,0.97,19.6,7.8,17.13
20.5,0,0.4,0.96,19.8,7.6,17.09
20.5,0,3.3,0.96,19.8,7.3,20
20.7,0,3.5,0.96,20,6.9,20
20.8,0,3.1,0.96,20.1,6.6,20
21,0,2.1,0.95,20.1,7.2,20
20.6,0,3.8,0.94,19.5,7.1,20
20.6,0,2.5,0.95,19.7,7.6,20
20.7,0,2.9,0.94,19.6,8.2,20
20.8,0,2.6,0.94,19.7,8.5,18.63
20.9,0,2.5,0.93,19.7,8.2,20
21,0,1.6,0.93,19.8,7.6,19.07
20.9,0,1.8,0.93,19.7,7.1,20
20.9,0,2.8,0.94,19.8,6.5,16.38
20.9,0,1.7,0.93,19.7,6.6,20
20.6,0,1.9,0.94,19.5,6.9,20
20.7,0,0.8,0.94,19.6,7,20
21.3,0,1,0.93,20.1,7,20
22.6,0,2.4,0.89,20.6,7.1,20
24.7,0,1.2,0.81,21.2,7.4,20
25.7,0,0.5,0.78,21.5,8.1,20
27.1,0,0.8,0.75,22.2,8,20
28.4,0,1.6,0.74,23.3,7.3,20
29.4,0,1.3,0.71,23.5,7.2,20
29.8,0,0.6,0.75,24.8,6.8,20
